player_id,name,svpts,aces,df,pct_1stIn,pct_1stWon,pct_2ndWon,pct_SvPtsWon,bp_faced,pct_bp_conv,pct_bp_saved,pct_1stRetPtsWon,pct_2ndRetPtsWon,Grass winRt,Hard winRt,Clay winRt,G winRt,A winRt,M winRt,F winRt,O winRt,recPerf
103718,David Martin,69.0,2.0,6.0,0.551,0.579,0.29,0.449,15.0,0.333,0.6,0.289,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103720,Lleyton Hewitt,34599.0,2809.0,1500.0,0.542,0.736,0.516,0.635,2854.0,0.431,0.597,0.348,0.531,0.735,0.598,0.561,0.654,0.638,0.539,0.0,0.6,0.47572547167933316
103722,Florent Serra,27239.0,1309.0,663.0,0.611,0.673,0.504,0.607,2639.0,0.396,0.605,0.266,0.492,0.333,0.416,0.47,0.419,0.427,0.406,0.0,0.0,0.18083561745575583
144684,Alex Molcan,7117.0,300.0,219.0,0.652,0.664,0.517,0.613,688.0,0.402,0.603,0.288,0.506,0.429,0.4,0.609,0.471,0.526,0.5,0.0,0.0,0.20101198982897217
103726,Jean Christophe Faurel,666.0,33.0,30.0,0.61,0.643,0.481,0.58,73.0,0.333,0.575,0.249,0.494,0.0,0.333,0.0,0.25,0.25,0.0,0.0,0.0,0.24679621968391607
103730,Jonathan Marray,435.0,16.0,22.0,0.634,0.638,0.491,0.584,47.0,0.419,0.638,0.275,0.438,0.25,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.12506126339170004
103735,Lovro Zovko,518.0,60.0,25.0,0.566,0.717,0.422,0.589,65.0,0.333,0.708,0.212,0.422,0.0,0.4,0.0,0.0,0.25,0.0,0.0,0.0,0.17815125038364363
103737,Edgardo Massa,1232.0,45.0,52.0,0.595,0.67,0.519,0.609,127.0,0.393,0.614,0.327,0.491,0.0,0.4,0.417,0.0,0.438,0.0,0.0,0.0,0.45405044014591156
103746,Miguel Gallardo Valles,129.0,5.0,3.0,0.659,0.6,0.5,0.566,14.0,0.375,0.429,0.306,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103747,Dominik Meffert,1170.0,114.0,62.0,0.624,0.723,0.507,0.642,99.0,0.355,0.636,0.229,0.492,0.4,0.429,0.333,0.0,0.429,0.0,0.0,0.0,0.17376201930049148
144707,Mikael Ymer,10077.0,274.0,398.0,0.678,0.642,0.483,0.591,1014.0,0.407,0.561,0.29,0.511,0.462,0.463,0.414,0.478,0.464,0.333,0.333,0.0,0.4272633919868986
103748,Jan Minar,147.0,2.0,8.0,0.694,0.676,0.422,0.599,15.0,0.125,0.533,0.127,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103752,Simon Greul,11099.0,534.0,503.0,0.569,0.675,0.493,0.597,1129.0,0.393,0.583,0.278,0.477,0.357,0.355,0.37,0.111,0.402,0.364,0.0,0.0,0.41690485133647265
202058,Thiago Agustin Tirante,751.0,20.0,14.0,0.69,0.651,0.536,0.615,72.0,0.373,0.611,0.23,0.474,0.0,0.5,0.429,0.5,0.429,0.0,0.0,0.0,0.4585346519488718
103754,Mark Hilton,57.0,0.0,3.0,0.596,0.647,0.435,0.561,8.0,0.0,0.625,0.206,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103758,Taylor Dent,11855.0,1189.0,921.0,0.564,0.764,0.475,0.638,977.0,0.399,0.614,0.297,0.476,0.458,0.478,0.375,0.531,0.427,0.517,0.0,0.0,0.4559750797496768
144719,Jaume Munar,15793.0,701.0,596.0,0.651,0.674,0.474,0.605,1564.0,0.375,0.586,0.316,0.499,0.182,0.302,0.508,0.28,0.478,0.344,0.2,0.0,0.4340810061594568
103761,Tomas Cakl,706.0,60.0,42.0,0.516,0.676,0.456,0.569,78.0,0.325,0.603,0.201,0.5,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.11307775279715418
103762,John Paul Fruttero,116.0,8.0,9.0,0.603,0.686,0.5,0.612,10.0,0.667,0.8,0.214,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103763,Martin Slanar,244.0,15.0,16.0,0.57,0.655,0.41,0.549,23.0,0.214,0.478,0.36,0.495,0.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.0
202065,Petros Tsitsipas,39.0,5.0,4.0,0.538,0.476,0.389,0.436,8.0,0.0,0.375,0.095,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210262,Jaime Faria,64.0,1.0,1.0,0.641,0.659,0.435,0.578,7.0,0.167,0.429,0.366,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103775,Felipe Parada,160.0,5.0,4.0,0.606,0.629,0.46,0.562,24.0,0.333,0.667,0.206,0.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103781,Jurgen Melzer,47690.0,3258.0,1605.0,0.62,0.699,0.518,0.63,4027.0,0.399,0.603,0.296,0.483,0.574,0.525,0.571,0.574,0.578,0.433,0.0,0.6,0.20255771931128613
103782,Rameez Junaid,148.0,6.0,11.0,0.561,0.639,0.415,0.541,18.0,0.222,0.333,0.253,0.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103786,Nikolay Davydenko,48386.0,2176.0,1704.0,0.674,0.691,0.518,0.634,4104.0,0.442,0.61,0.314,0.538,0.444,0.622,0.641,0.675,0.635,0.58,0.6,0.5,0.507226888264388
202090,Adrian Andreev,528.0,7.0,21.0,0.638,0.593,0.539,0.574,60.0,0.432,0.567,0.249,0.527,0.0,0.286,0.0,0.0,0.286,0.0,0.0,0.0,0.15724207427765213
103789,Irakli Labadze,1659.0,109.0,105.0,0.632,0.668,0.495,0.605,161.0,0.445,0.652,0.225,0.464,0.75,0.3,0.333,0.6,0.333,0.333,0.0,0.0,0.14977270250230026
144750,Lloyd Harris,9168.0,1256.0,273.0,0.645,0.748,0.482,0.653,686.0,0.373,0.614,0.247,0.458,0.438,0.481,0.25,0.407,0.448,0.435,0.0,0.0,0.39430555811498263
144751,Rigele Te,65.0,4.0,3.0,0.554,0.583,0.586,0.585,10.0,0.0,0.7,0.222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
