player_id,hand,dob,ioc,height,wikidata_id,name
100185,R,19490910.0,FRA,180.0,Q1282611,Patrick Proisy
100186,R,19490925.0,USA,193.0,Q1565788,Jeff Borowiak
100187,R,19490926.0,BRA,,,Luis Felipe Tavares
100188,R,19490928.0,USA,,,John Fort
100189,R,19491002.0,CAN,,Q5210590,Dale Power
100190,R,19491005.0,USA,,,Norman Holmes
100191,R,19491015.0,USA,188.0,,Doug Crawford
100192,R,19491015.0,USA,,,Kent Crawford
100193,R,19491019.0,FRA,,Q3566000,Wanaro N'Godrella
100194,R,19491023.0,USA,,,Larry Parker
100195,R,19491029.0,GRE,178.0,Q27996064,Nicolas Kelaidis
100196,R,19491112.0,PAK,,Q1258703,Haroon Rahim
100197,R,19491120.0,CHI,,Q4714630,Alejandro Pierola
100198,R,19500103.0,COL,,Q86431834,Alvaro Betancur
100199,L,19500112.0,FRA,173.0,Q3368924,Patrice Dominguez
100200,R,19500117.0,ITA,,Q267328,Antonio Zugarelli
100201,R,19500124.0,AUS,188.0,Q1563900,Syd Ball
100202,L,19500212.0,USA,173.0,,George Amaya
100203,R,19500214.0,AUS,183.0,Q976190,Phil Dent
100204,L,19500216.0,USA,,,Pancho Walthall
100205,R,19500315.0,USA,185.0,Q3371310,Paul Gerken
100206,R,19500319.0,JPN,,Q17986761,Kenichi Hirai
100207,R,19500328.0,AUS,,,Noel Phillips
100208,R,19500428.0,USA,,Q16144736,Dick Bohrnstedt
100209,R,19500504.0,USA,,,George Taylor
100210,R,19500506.0,AUS,,Q7612404,Steve Docherty
100211,R,19500509.0,NED,,Q2157904,Louk Sanders
100212,R,19500613.0,USA,,,F D Robbins
100213,U,19500614.0,NED,,Q719304,Fred Hemmes
100214,R,19500709.0,ITA,183.0,Q375938,Adriano Panatta
100215,R,19500722.0,USA,183.0,Q3086899,Fred Mcnair
100216,R,19500731.0,USA,,Q5081403,Charlie Owens
100217,R,19500805.0,USA,,Q7347560,Bob Mckinley
100218,R,19500904.0,USA,,,Butch Palmer
100219,R,19500919.0,AUS,,Q1260231,Geoff Masters
100220,R,19500919.0,CZE,,Q2057065,Jiri Hrebec
